Term_Id	Term	Gloss	Domain	Refs
δόξα-3	δόξα	praise; honor, respect	communication; honor, respect, status	LUK 2:14!2; LUK 2:32!12; LUK 14:10!48; LUK 17:18!10; LUK 19:38!28
δραχμή	δραχμή	drachma	artifacts	LUK 15:8!8; LUK 15:8!18; LUK 15:9!28
δυνάστης	δυνάστης	ruler; court official; sovereign	people; authority	LUK 1:52!4
δύναμις-1	δύναμις	mighty work; miracle	signs and wonders	LUK 10:13!30; LUK 19:37!56
δύναμις-2	δύναμις	ability; power; ruler	strength	LUK 1:17!18; LUK 1:35!26; LUK 4:14!14; LUK 4:36!38; LUK 5:17!60; LUK 6:19!18; LUK 8:46!22; LUK 9:1!14; LUK 10:19!32; LUK 21:27!24; LUK 22:69!28; LUK 24:49!46
δῶμα	δῶμα	housetop	constructions	LUK 5:19!26; LUK 12:3!48; LUK 17:31!18
δῶρον	δῶρον	gift, offering	possession; grace	LUK 21:1!20; LUK 21:4!22
ἐγείρω	ἐγείρω	act.: raise (from the dead); pass.: be raised (from the dead)	life and death	LUK 7:22!44; LUK 9:7!36; LUK 9:22!50; LUK 20:37!6; LUK 24:6!10; LUK 24:34!8
εἰκών	εἰκών	likeness; image	artifacts	LUK 20:24!12
εἰρήνη	εἰρήνη	peace	well-being	LUK 1:79!32; LUK 2:14!16; LUK 2:29!24; LUK 7:50!26; LUK 8:48!26; LUK 10:5!18; LUK 10:6!12; LUK 10:6!22; LUK 11:21!20; LUK 12:51!6; LUK 14:32!28; LUK 19:38!24; LUK 19:42!26; LUK 24:36!26
εἰς αἰῶνα, εἰς τὸν αἰῶνα, εἰς τοὺς αἰῶνας, εἰς ἡμέραν αἰῶνος, εἰς τοὺς αἰῶνας τῶν αἰώνων, εἰς τὸν αἰῶνα τοῦ αἰῶνος, εἰς αἰῶνας αἰώνων, εἰς πάντας τοῦ αἰῶνας, τοῦ αἰῶνος τῶν αἰώνων	εἰς αἰῶνα, εἰς τὸν αἰῶνα, εἰς τοὺς αἰῶνας, εἰς ἡμέραν αἰῶνος, εἰς τοὺς αἰῶνας τῶν αἰώνων, εἰς τὸν αἰῶνα τοῦ αἰῶνος, εἰς αἰῶνας αἰώνων, εἰς πάντας τοῦ αἰῶνας, τοῦ αἰῶνος τῶν αἰώνων	always; forever; forever and ever; eternally	time	LUK 1:33!18; LUK 1:55!30
εἰσφερω	εἰσφερω	bring in, carry in; cause to, bring in to, lead to	transportation	LUK 5:18!28; LUK 5:19!10; LUK 11:4!32; LUK 12:11!6
εἶπον	εἶπον	to command, to bid, to request	communication; authority	LUK 4:3!22; LUK 7:7!18; LUK 10:40!46; LUK 12:13!18
ἑκατοντάρχης	ἑκατοντάρχης	centurion; captain	occupations	LUK 7:2!2; LUK 7:6!38; LUK 23:47!8
ἐκδικέω	ἐκδικέω	grant justice; avenge	morals and ethics	LUK 18:3!26; LUK 18:5!20
ἐκδίκησις	ἐκδίκησις	justice; vengeance; punishment	morals and ethics	LUK 18:7!16; LUK 18:8!12; LUK 21:22!6
ἐκλεκτός	ἐκλεκτός	chosen; chosen one	choice	LUK 18:7!20; LUK 23:35!48
ἐκλέγω	ἐκλέγω	choose	choice	LUK 6:13!20; LUK 9:35!28; LUK 10:42!20; LUK 14:7!22
ἐκπειράζω	ἐκπειράζω	put to the test; entrap	morals and ethics	LUK 4:12!20
ἐλαία-1	ἐλαία	olive tree	trees; fruits	LUK 19:29!28; LUK 19:37!22; LUK 21:37!38; LUK 22:39!22
ἐλεέω	ἐλεέω	have, show, or receive mercy	compassion	LUK 16:24!14; LUK 17:13!16; LUK 18:38!14; LUK 18:39!30
Ἐλιακίμ-2	Ἐλιακίμ	Eliakim	person	LUK 3:30!20
Ἐλιέζερ	Ἐλιέζερ	Eliezer	person	LUK 3:29!8
Ἐλισαῖος	Ἐλισαῖος	Elisha	person	LUK 4:27!18
Ἐλισάβετ	Ἐλισάβετ	Elizabeth	person	LUK 1:5!54; LUK 1:7!18; LUK 1:13!38; LUK 1:24!14; LUK 1:36!6; LUK 1:40!20; LUK 1:41!20; LUK 1:41!46; LUK 1:57!6
Ἐλμαδάμ	Ἐλμαδάμ	Elmadam	person	LUK 3:28!16
ἐλπίζω	ἐλπίζω	hope	hope	LUK 6:34!12; LUK 23:8!46; LUK 24:21!6
Ἐμμαοῦς	Ἐμμαοῦς	Emmaus	settlement	LUK 24:13!42
ἐντέλλομαι	ἐντέλλομαι	to command	authority	LUK 4:10!14
ἐντολή	ἐντολή	commandment, order	authority	LUK 1:6!24; LUK 15:29!30; LUK 18:20!4; LUK 23:56!28
Ἐνώς	Ἐνώς	Enos	person	LUK 3:38!4
Ἑνώχ	Ἑνώχ	Enoch	person	LUK 3:37!8
ἐξουσιάζω	ἐξουσιάζω	be in authority; rule	authority; control	LUK 22:25!26
