"LouwNida_Code","SemDom","SemDom_Name"
"37D Rule, Govern","4.6;4.6.4","Government;Rule"
"37E Assign to a Role or Function","4.5.3.4","Appoint, delegate"
"37F Seize, Take into Custody","4.6.6;4.6.6.1;4.6.6.1.1;7.2.6.1","Arrest;Catch, capture;Government functions;Police"
"37G Hand Over, Betray","4.8.2.7","Betray"
"37H Imprison","4.7.7.3","Imprison"
"37I Guard, Watch Over","4.7.7.3","Imprison"
"37J Release, Set Free","3.3.4.5;7.2.6.4","Free to do what you want;Set free"
"38 Punish, Reward","4.7.7","Punish"
"38A Punish","4.7.7","Punish"
"38B Reward, Recompense","4.7.7.1","Reward"
"39 Hostility, Strife","4.8;4.8.1;4.8.1.1;4.8.3","Conflict;Hostility;Oppose;War"
"39A Opposition, Hostility","4.1.6","Disunity"
"39B Division","4.1.6","Disunity"
"39C Resistance","4.8.2.2","Fight against something bad"
"39D Yielding","4.5.4;4.8.3.4","Submit to authority;Surrender"
"39E Strife, Struggle","4.8.1;4.8.1.1","Hostility;Oppose"
"39F Revenge","4.8.2.5","Revenge"
"39G Rebellion","4.5.4.6","Rebel against authority"
"39H Riot","4.8.2.6","Riot"
"39I Persecution","4.7.9.6","Oppress"
"39J Attack","4.8.2.3","Attack"
"39K Ambush","4.8.2.3.1","Ambush"
"39L Conquer","4.8.3.1","Defeat"
"3A Plants","1.5","Plant"
"3B Trees","1.5.1","Tree"
"3C Plants That Are Not Trees","1.5.3;1.5.4","Grass, herb, vine;Moss, fungus, algae"
"3D Fruit Parts of Plants","1.5.5;5.2.3;5.2.3.1;5.2.3.1.2","Food from fruit;Food from plants;Parts of a plant;Types of food"
"3E Non-Fruit Parts of Plants","1.5.5","Parts of a plant"
"3F Wood and Wood Products","6.2.5;6.2.5.4","Harvest;Plant product"
"4 Animals","1.6","Animal"
"40 Reconciliation, Forgiveness","4.8.4.9","Reconcile"
"40A Reconciliation","4.8.4.9","Reconcile"
"40B Forgiveness","4.8.4.7","Forgive"
"41 Behavior and Related States","4.3","Behavior"
"41A Behavior, Conduct","4.3","Behavior"
"41B Custom, Tradition","4.3.9;4.3.9.1","Culture;Custom"
"41C Particular Patterns of Behavior","4.3.1","Good, moral"
"41D Imitate Behavior","8.3.5.5","Imitate"
"41E Change Behavior","4.3.8;4.8.4.6","Change behavior;Repent"
"42 Perform, Do","9.1.2","Do"
"42A Function","9.1.2","Do"
"42B Do, Perform","9.1.2","Do"
"42C Make, Create","9.1.2.3;9.1.2.5","Create;Make"
"42D Work, Toil","6;6.1","Work;Work and occupation"
"42E Craft, Trade","6.6","Occupation"
"43 Agriculture","6.2","Agriculture"
"44 Animal Husbandry, Fishing","6.3;6.4","Animal husbandry;Hunt and fish"
"45 Building, Constructing","6.5","Working with buildings"
"46 Household Activities","5","Daily life"
"47 Activities Involving Liquids or Masses","1.3.2","Movement of water"
"47A Movement of Liquids or Masses","1.3.2","Movement of water"
"47B Use of Liquids","5.6","Cleaning"
"47C Application and Removal of Liquids or Masses","1.3.3;1.3.3.1;5.4.5","Anoint the body;Dry;Wet"
"48 Activities Involving Cloth","6.6.1","Working with cloth"
"49 Activities Involving Clothing and Adorning","5.3.7;5.4","Adornment;Wear clothing"
"4A Animals","1.6.1","Types of animals"
"4B Birds","1.6.1.2","Bird"
"4C Insects","1.6.1.7","Insect"
"4D Reptiles and Other 'Creeping Things'","1.6.1.3","Reptile"
"4E Fishes and Other Sea Creatures","1.6.1.5;1.6.1.6;1.6.1.9","Fish;Shark, ray;Small animals"
"5 Foods and Condiments","5.2","Food"
"50 Contests and Play","4.2.6","Entertainment, recreation"
"51 Festivals","4.2.2;4.2.2.1;4.2.2.2;4.2.2.3","Celebrate;Ceremony;Festival, show;Social event"
"52 Funerals and Burial","2.6.6.3;2.6.6.5","Bury;Funeral"
"53 Religious Activities","4.9.5","Practice religion"
"53A Religious Practice","4.9.5","Practice religion"
"53B Offering, Sacrifice","4.9.5.5","Offering, sacrifice"
"53C Purify, Cleanse","4.9.5.6","Religious purification"
"53D Defiled, Unclean, Common","4.9.5.6","Religious purification"
"53E Baptize","4.9.5.6","Religious purification"
"53F Dedicate, Consecrate","4.9.5.8","Dedicate to religious use"
"53G Worship, Reverence","4.9.5.3","Worship"
"53H Fasting","4.9.5.9","Fasting"
"53I Roles and Functions","4.9.7.1","Religious person"
"53J Magic","4.9.4.1","Sorcery"
"53K Exorcism","4.9.4.2","Demon possession"
"53L Sacrilege","4.9.9","Irreligion"
"54 Maritime Activities","7.2.4.2","Travel by water"
"55 Military Activities","4.8.3","War"
"55A To Arm","4.8.3.7","Weapon, shoot"
"55B To Fight","4.8.2","Fight"
"55C Army","4.8.3.6;4.8.3.6.1","Army;Military organization"
"55D Soldiers, Officers","4.8.3.6.4","Soldier"
"55E Prisoner of War","4.8.3.5","Prisoner of war"
"56 Courts and Legal Procedures","4.7","Law"
"56A Court of Justice","4.7.4","Court of law"
"56B Lawsuit, Case","4.7.4","Court of law"
"56C Accusation","4.7.5.3","Accuse, confront"
"56D Judicial Hearing, Inquiry","4.7.5","Trial"
"56E Judge, Condemn, Acquit","4.7.6","Judge, render a verdict"
"56F Obtain Justice","4.7.6","Judge, render a verdict"
"56G Attorney, Lawyer","4.7.4.1","Legal personnel"
"56H Lead Off to Punishment","4.7.6","Judge, render a verdict"
"57 Possess, Transfer, Exchange","6.8","Finance"
"57A Have, Possess, Property, Owner","6.8.1","Have wealth"
"57B Have Sufficient","8.1.7","Enough"
"57C Be Rich, Be Wealthy","6.8.1.2","Rich"
"57D Treasure","6.8.1.5","Possession, property"
"57E Need, Lack","7.4.6;8.1.7.2;8.1.7.3","Lack;Need;Not have"
"57F Be Poor, Be Needy, Poverty","6.8.1.3","Poor"
"57G Take, Obtain, Gain, Lose","6.8.2","Accumulate wealth"
"57H Give","6.8.3;6.8.3.1;7.4;7.4.1","Give, donate;Give, hand to;Have, be with;Share wealth"
"57I Receive","7.4.2","Receive"
"57J Exchange","6.8.4.9;7.5.6","Exchange, trade;Substitute"
"57K Spend, Waste","6.8.4.7","Spend"
"57L Pay, Price, Cost","6.8.4.5","Pay"
"57M Hire, Rent Out","6.8.4.6","Hire, rent"
"57N Tax, Tribute","6.8.8","Tax"
"57O Sell, Buy, Price","6.8.4;6.8.4.1","Buy;Financial transaction"
"57P Earn, Gain, Do Business","6.8.2.2","Make profit"
"57P Earn, Gain, Do Business x","6.8.2.7","Earn"
