Greek_Word	Ln_Domain	SemDom	SemDom_Name	Total_Unique_References	Refs
Προσέφερον	15W	7.3.3	Take somewhere	1	LUK 18:15!1
Προσέχετε	27F	3.1.2;3.1.2.1;3.1.2.3	Alert;Attention;Mental state	3	LUK 12:1!18; LUK 20:46!1; LUK 21:34!1
Προσδοκῶντος	30C	3.2.7	Expect	1	LUK 3:15!1
Προσελθόντες	15E	7.2.3	Move toward something	1	LUK 20:27!1
Προσεύχεσθε	33M	4.9.5.2	Pray	1	LUK 22:40!8
Προσηνέγκατέ	15W	7.3.3	Take somewhere	1	LUK 23:14!4
Προφήτευσον	"33A"""	4.9.4.6	Prophecy	1	LUK 22:64!6
Προφήτης	53I	4.9.7.1	Religious person	1	LUK 7:16!11
Πρόσθες	59H	8.1.2;8.1.2.2	Add numbers;Count	1	LUK 17:5!7
Πρὶν	67B	8.4.5	Relative time	1	LUK 22:61!20
Πρὸ	67B	8.4.5	Relative time	1	LUK 21:12!1
Πόσοι	59A	8.1.3;8.1.3.1	Many, much;Plural	1	LUK 15:17!6
Πόσον	59B	8.1.3;8.1.3.1;8.1.3.2	Few, little;Many, much;Plural	1	LUK 16:5!13
Πᾶν	59C	8.1.5	All	1	LUK 2:23!7
Πᾶς	59C	8.1.5	All	1	LUK 16:18!1
Πᾶσα	59C	8.1.5	All	1	LUK 11:17!9
Πῦρ	39B	4.1.6	Disunity	1	LUK 12:49!1
Πῶς	92D	9.2;9.2.3	Part of speech;Pronouns	3	LUK 18:24!7; LUK 1:34!7; LUK 20:41!5
Σάρεπτα	93B	9.7.2	Name of a place	1	LUK 4:26!10
Σήμερον	67J	8.4.1.2;8.4.1.2.2	Day;Yesterday, today, tomorrow	2	LUK 19:9!8; LUK 4:21!7
Σίμων	93A	9.7.1	Name of a person	6	LUK 22:31!1; LUK 22:31!2; LUK 5:5!3; LUK 5:8!3; LUK 7:40!8; LUK 7:43!2
Σίμωνά	93A	9.7.1	Name of a person	1	LUK 23:26!6
Σίμωνα	93A	9.7.1	Name of a person	4	LUK 5:10!18; LUK 5:4!8; LUK 6:14!1; LUK 6:15!9
Σίμωνι	93A	9.7.1	Name of a person	3	LUK 24:34!9; LUK 5:10!13; LUK 7:44!7
Σίμωνος	93A	9.7.1	Name of a person	3	LUK 4:38!10; LUK 4:38!14; LUK 5:3!9
Σαδδουκαίων	11B	4.9.7	Religious organization	1	LUK 20:27!5
Σαλαθιὴλ	93A	9.7.1	Name of a person	1	LUK 3:27!8
Σαλὰ	93A	9.7.1	Name of a person	2	LUK 3:32!8; LUK 3:35!10
Σαμαρίτης	93B	9.7.2	Name of a place	2	LUK 10:33!1; LUK 17:16!14
Σαμαρείας	93B	9.7.2	Name of a place	1	LUK 17:11!13
Σαμαριτῶν	93B	9.7.2	Name of a place	1	LUK 9:52!12
Σατανᾶν	12A;93A	4.9.2;9.7.1	Supernatural being;Name of a person	1	LUK 10:18!6
Σατανᾶς	12A;93A	4.9.2;9.7.1	Supernatural being;Name of a person	4	LUK 11:18!5; LUK 13:16!9; LUK 22:3!3; LUK 22:31!5
Σεμεῒν	93A	9.7.1	Name of a person	1	LUK 3:26!6
Σεροὺχ	93A	9.7.1	Name of a person	1	LUK 3:35!2
Σιδωνίας	93B	9.7.2	Name of a place	1	LUK 4:26!12
Σιδῶνι	93B	9.7.2	Name of a place	2	LUK 10:13!12; LUK 10:14!4
Σιδῶνος	93B	9.7.2	Name of a place	1	LUK 6:17!30
Σιλωὰμ	93B	9.7.2	Name of a place	1	LUK 13:4!12
Σοδόμοις	93B	9.7.2	Name of a place	1	LUK 10:12!4
Σοδόμων	93B	9.7.2	Name of a place	1	LUK 17:29!7
Σολομὼν	93A	9.7.1	Name of a person	1	LUK 12:27!14
